classes,filename,stream_index,sni,len1,len2,len3,len4,len5,len6,len7,len8,len9,len10,len11,len12,len13,len14,len15,len16,len17,len18,len19,len20,len21,len22,len23,len24,len25,len26,len27,len28,len29,len30
www.qimao.com,www.qimao.com.json,2,www.qimao.com,0,0,0,519,0,3415,0,93,511,0,274,0,1549,0,4356,0,2904,0,7260,0,1452,0,372,0,1541,0,3127,34,0,0
www.qimao.com,www.qimao.com.json,3,www.qimao.com,0,0,0,519,0,3415,0,93,274,0,1614,0,4356,0,10164,0,4356,0,961,0,1540,88,0,0,1047,34,0,0,1667,0
www.qimao.com,www.qimao.com.json,4,www.qimao.com,0,0,0,519,0,3415,0,93,274,0,1667,0,4356,0,2904,0,4356,0,2904,0,1914,0,1593,0,1047,34,0,0,1682,0
www.qimao.com,www.qimao.com.json,5,www.qimao.com,0,0,0,519,0,3415,0,93,1893,274,0,0,4356,0,2904,0,2100,34,0,0,1819,0,1047,34,0,0,1875,0,9171,34
www.qimao.com,www.qimao.com.json,6,www.qimao.com,0,0,0,519,0,3415,0,93,274,0,1799,0,1157,34,0,0,1884,0,9167,34,0,1810,0,1047,34,0,1799,0,4356,0
www.qimao.com,www.qimao.com.json,7,www.qimao.com,0,0,0,519,0,3415,0,93,274,0,1884,0,4356,0,2904,0,1348,34,0,0,1810,0,1047,34,0,0,1884,0,9328,34
www.qimao.com,www.qimao.com.json,8,www.qimao.com,0,0,0,519,0,3415,0,93,274,0,1859,0,15972,0,3666,0,1785,0,1047,34,0,0,1860,0,4356,0,4356,0,7659,34
www.qimao.com,www.qimao.com.json,9,www.qimao.com,0,0,0,519,0,3415,0,93,1795,511,0,274,0,0,4356,0,10164,0,1452,0,2904,0,3783,0,1802,0,3126,34,0,0
www.qimao.com,www.qimao.com.json,10,www.qimao.com,0,0,0,519,0,3415,0,93,511,0,274,0,1859,0,15972,0,2658,0,1785,0,1047,34,0,0,1795,0,4356,0,2904,0
www.qimao.com,www.qimao.com.json,11,www.qimao.com,0,0,0,519,0,3415,0,93,274,0,1893,0,9964,34,0,0,1819,0,1047,34,0,0,1860,0,8712,0,7260,0,441,0
www.qimao.com,www.qimao.com.json,12,www.qimao.com,0,0,0,519,0,1452,0,1963,0,93,274,0,1871,0,4356,0,7260,0,1336,34,0,0,1797,0,1047,34,0,0,1884,0
dxy.com,dxy.com.json,1,dxy.com,0,0,0,517,0,142,0,43,97,626,61,30,30,0,421,105,0,0,271,0,1456,1424,0,2693,1424,2693,201,30,0,141
dxy.com,dxy.com.json,2,dxy.com,0,0,0,517,0,142,0,43,97,710,61,30,0,30,0,555,34,116,0,2581,30,0,151,495,30,0,75,0,4117,3055
bbs.elecfans.com,bbs.elecfans.com.json,3,bbs.elecfans.com,0,0,0,633,0,260,0,80,899,311,2904,575,0,808,1438,1452,0,1452,1452,1298,0,1378,0,1361,27,0,1377,0,2904,0
bbs.elecfans.com,bbs.elecfans.com.json,5,bbs.elecfans.com,0,0,0,633,0,260,0,80,898,311,2675,0,1608,0,657,2904,345,0,1588,0,690,136,0,1669,0,807,2904,0,2904,0
bbs.elecfans.com,bbs.elecfans.com.json,2,bbs.elecfans.com,0,0,0,517,0,5149,0,80,810,311,311,0,1452,1152,0,800,941,0,989,1978,0,1315,1316,0,1311,2154,0,1286,0,690
bbs.elecfans.com,bbs.elecfans.com.json,4,bbs.elecfans.com,0,0,0,517,0,2904,0,2245,0,80,810,311,311,0,2904,0,620,0,1598,0,819,0,252,0,1788,0,837,128,128,0
bbs.elecfans.com,bbs.elecfans.com.json,6,bbs.elecfans.com,0,0,0,633,0,260,0,80,2389,311,0,0,818,0,2904,0,2620,0,2399,0,5046,690,690,0,0,690,0,2408,0,1396
www.7k7k.com,www.7k7k.com.json,14,i3.7k7kimg.cn,0,0,0,519,0,148,0,43,609,609,0,4356,1529,0,612,0,0,1452,4356,0,3840,0,612,5808,7294,1452,0,1239,0,609
www.7k7k.com,www.7k7k.com.json,11,i2.7k7kimg.cn,0,0,0,519,0,148,0,43,612,0,4342,1485,0,612,1452,1430,7260,0,2904,502,0,609,4342,105,0,612,4356,1446,2904,0
www.7k7k.com,www.7k7k.com.json,17,i5.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,6110,0,612,4356,0,4356,0,7260,0,5808,0,2904,2904,1452,7260,4356,1452,4356,4356,4356
www.7k7k.com,www.7k7k.com.json,19,i3.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,1452,3682,0,607,4728,0,612,5808,1452,0,5866,0,607,2904,0,1933,0,609,4342,519
www.7k7k.com,www.7k7k.com.json,23,i5.7k7kimg.cn,0,0,0,519,0,148,0,43,612,0,13068,1452,0,278,0,609,2904,0,2838,0,612,1452,0,11616,0,1452,0,7260,0,3545
www.7k7k.com,www.7k7k.com.json,16,i2.7k7kimg.cn,0,0,0,519,0,148,0,43,607,0,1422,3365,0,612,4356,0,2904,0,4356,0,5498,0,609,6282,0,609,5488,0,609,6544
www.7k7k.com,www.7k7k.com.json,21,i3.7k7kimg.cn,0,0,0,519,0,148,0,43,612,0,5808,4356,0,4356,0,485,0,609,1452,0,1452,0,2225,0,609,4356,0,1330,0,612
www.7k7k.com,www.7k7k.com.json,15,i1.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,6507,0,612,8712,2904,0,1386,0,609,1452,0,1452,0,1680,0,609,1422,3516,0,609
www.7k7k.com,www.7k7k.com.json,22,i5.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,1452,5006,0,609,2882,1452,0,2041,0,607,4197,0,612,4356,2904,1452,4356,1452,7260,4718
www.7k7k.com,www.7k7k.com.json,25,i2.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,5831,0,612,2904,0,13352,18925,0,609,4930,0,609,1449,4018,0,609,4356,2481,0,604
www.7k7k.com,www.7k7k.com.json,18,i1.7k7kimg.cn,0,0,0,519,0,148,0,43,612,0,2882,1452,8712,4100,0,609,2904,3463,0,609,2904,2367,0,609,4356,0,1207,609,2904,2869
www.7k7k.com,www.7k7k.com.json,20,i2.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,6697,0,609,4267,0,609,1422,2904,1452,0,337,0,609,4356,0,1338,0,609,2904,0
www.7k7k.com,www.7k7k.com.json,27,i1.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,1452,4111,0,609,5749,0,612,5808,0,2904,4356,4356,0,748,0,612,4356,0,4356,0
www.7k7k.com,www.7k7k.com.json,29,i4.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,2904,1452,0,1264,0,609,1452,0,4333,0,612,4356,2772,0,609,4369,2505,0,602,4356
www.7k7k.com,www.7k7k.com.json,26,i4.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,6401,0,609,4356,0,1374,0,609,1449,2904,0,0,1452,0,370,0,609,5192,0,609
www.7k7k.com,www.7k7k.com.json,30,i1.7k7kimg.cn,0,0,0,519,0,148,0,43,607,0,1422,2551,0,609,1422,2562,0,609,2882,1483,0,609,4356,0,1074,609,4136,0,609,4356
www.7k7k.com,www.7k7k.com.json,24,i4.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,0,1449,3946,0,609,1422,2889,0,612,2909,0,2904,1452,3927,0,612,4356,4356,0,2904
www.7k7k.com,www.7k7k.com.json,28,i4.7k7kimg.cn,0,0,0,519,0,148,0,43,609,0,0,2904,0,3666,0,612,1449,1452,0,2904,0,1452,8712,2904,0,2904,1807,0,609,1422
www.7k7k.com,www.7k7k.com.json,40,news.7k7k.com,0,0,0,517,0,3335,0,85,782,266,4336,0,2467,26,0,813,1571,0,0,0,0,23,0,0,0,0,0,0,0,0
www.7k7k.com,www.7k7k.com.json,42,i.7k7kimg.cn,0,0,0,517,0,3340,0,85,606,266,1452,0,2159,0,602,1350,602,1326,606,2409,0,614,0,4356,0,4356,0,8712,0,4356
www.7k7k.com,www.7k7k.com.json,41,i.7k7kimg.cn,0,0,0,517,0,3340,0,85,605,266,983,0,597,2904,4356,0,1452,2904,8712,0,5808,4869,0,601,3533,0,605,4356,0,4356
www.7k7k.com,www.7k7k.com.json,43,www.7k7k.com,0,0,0,517,0,3335,0,85,543,266,1337,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.7k7k.com,www.7k7k.com.json,44,i.7k7kimg.cn,0,0,0,518,0,148,0,43,602,0,1370,609,0,1452,7260,0,2904,0,1452,3183,1452,0,1452,1452,1452,4356,0,0,1452,1452
www.7k7k.com,www.7k7k.com.json,46,resource.a0bi.com,0,0,0,517,0,3447,0,85,577,266,1452,0,3642,26,0,634,4356,0,4356,0,1452,1231,0,636,4356,1452,1452,0,1452,1452
www.7k7k.com,www.7k7k.com.json,45,resource.a0bi.com,0,0,0,517,0,3447,0,85,557,0,266,1452,1452,0,2434,26,0,633,1452,1452,0,1452,1452,2904,835,0,633,4356,1452,1452
www.7k7k.com,www.7k7k.com.json,47,resource.a0bi.com,0,0,0,517,0,1452,0,1995,0,85,576,0,266,2904,0,1432,1452,2904,2904,0,1241,0,631,1265,0,634,2904,0,2904,0
www.7k7k.com,www.7k7k.com.json,48,n3.7k7kimg.cn,0,0,0,517,0,2904,0,436,0,85,602,266,2904,0,4356,0,1452,1452,0,1452,1452,0,1452,1452,0,1452,1452,0,2904,0
www.7k7k.com,www.7k7k.com.json,49,i.7k7kimg.cn,0,0,0,518,0,148,0,43,607,0,1452,1452,0,714,607,2661,0,606,4356,4356,1452,0,4356,0,4356,0,1667,0,609,0
www.7k7k.com,www.7k7k.com.json,50,i.7k7kimg.cn,0,0,0,518,0,148,0,43,0,611,0,1452,431,0,592,2405,0,0,0,0,23,0,0,0,0,0,0,0,0,0
www.7k7k.com,www.7k7k.com.json,51,i.7k7kimg.cn,0,0,0,518,0,148,0,43,0,606,0,1452,1452,4356,2603,0,600,1452,4356,0,1067,598,2904,2904,0,2904,2077,0,601,2904
www.7k7k.com,www.7k7k.com.json,52,resource.a0bi.com,0,0,0,523,0,148,0,43,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
